id,hhb,hbo2,ca,na
10000,7.7541122,4.2871723,8.780527,2.8584266
10001,5.4973693,3.810622,9.804827,2.569852
10002,8.179963,4.2421193,9.138384,3.825814
10003,9.45123,3.9919715,10.885279,3.7284007
10004,10.078477,3.560388,8.766977,4.0405045
10005,8.590937,3.9294167,8.124808,2.178867
10006,11.04914,2.898624,9.159235,2.6836426
10007,8.173094,4.8545485,10.160071,2.8089929
10008,4.863838,4.590034,6.668226,2.5045364
10009,9.374365,3.6797829,7.7129226,2.161492
10010,9.162252,3.9675488,9.470556,7.278015
10011,7.9602633,3.9287114,5.799441,4.2209883
10012,8.432878,4.3934364,4.7317934,2.380715
10013,7.3078446,4.3094625,8.452978,2.9132228
10014,8.8309,4.051533,8.302794,2.9695764
10015,7.295512,3.8127532,8.072006,3.57028
10016,11.48777,3.824044,7.927432,4.740058
10017,8.723227,3.8137164,10.029989,2.4681313
10018,9.123201,4.388283,9.640939,2.751643
10019,9.58724,3.4980335,8.633912,1.6301677
10020,8.9648075,3.5811124,7.937833,3.641501
10021,10.6069765,4.2794824,8.197702,1.8135617
10022,7.667342,3.746645,9.463337,3.4912498
10023,6.426984,4.9596925,10.02071,2.0315757
10024,7.1824403,4.256562,9.583892,2.6753771
10025,8.83531,4.2332563,9.164705,2.9005353
10026,9.120862,3.9916909,7.198696,2.929673
10027,14.011824,4.921405,10.835449,3.5034394
10028,4.802235,4.422681,9.825087,3.3669422
10029,7.149291,4.0000205,8.683916,3.3356388
10030,7.2502127,4.531353,9.845708,2.0129485
10031,7.2883797,3.1027505,9.2286215,3.9155426
10032,8.192494,4.0744686,9.220579,3.8713818
10033,9.331127,3.9632297,7.377585,3.6425927
10034,10.2853985,3.5375836,7.1185975,4.060941
10035,5.4785633,3.6120288,8.991032,4.218999
10036,13.065424,3.6181674,7.9285493,4.5825357
10037,5.8275824,4.153051,7.8179116,2.8192847
10038,8.3274975,4.5279408,8.460491,4.038606
10039,9.005376,2.9710574,8.5530815,3.483564
10040,4.2820044,4.094872,7.1673965,3.6907897
10041,7.192983,4.2038116,10.724174,5.1218996
10042,8.189886,3.8443718,8.453425,2.2606134
10043,9.514708,3.769701,9.342125,2.9454427
10044,6.4423113,4.3799186,10.514199,2.0240986
10045,10.375128,2.8785021,7.875804,1.9996567
10046,6.665972,4.056998,10.078302,3.2878013
10047,7.144072,4.309247,10.059952,2.644604
10048,7.6008782,3.9736207,8.677615,2.9724572
10049,7.724578,4.193676,8.918779,0.9610508
10050,6.801342,4.0087194,9.73247,0.84915906
10051,7.3228903,4.874175,9.957644,3.0540257
10052,11.361662,4.173419,9.03165,2.4056754
10053,5.101097,3.9427178,9.069616,2.394258
10054,6.7350845,4.429864,8.390224,2.4666784
10055,6.873291,3.0232003,8.977644,6.0057726
10056,12.204387,4.450943,8.145597,2.9743447
10057,6.8662667,3.9101653,7.7678347,3.5933309
10058,9.592457,4.073851,8.747906,3.2900224
10059,6.840052,4.1961527,10.210307,4.7517357
10060,8.479222,3.1576843,7.905467,3.0153618
10061,3.594658,3.9625626,9.637685,1.8540497
10062,6.472267,3.8989987,8.843067,4.920472
10063,11.824041,4.252899,9.549883,4.1479974
10064,7.635497,3.237915,8.29207,3.935266
10065,7.5484123,4.061832,9.037932,2.8797395
10066,9.655912,3.3169065,8.376441,3.416455
10067,7.1532297,3.7585785,7.609861,2.3678231
10068,10.014708,4.3525505,10.420546,2.877048
10069,8.584796,4.1249113,9.901317,3.8962226
10070,7.1682653,4.1384726,8.284123,3.4893546
10071,4.7633276,4.2294283,8.780041,3.7730908
10072,9.126833,4.2020173,6.194444,3.3753762
10073,10.039945,3.8705711,10.236888,2.921301
10074,6.4773674,4.2246757,8.688705,3.916296
10075,9.388926,4.4713273,9.074651,1.1392983
10076,6.9271317,4.147358,10.609202,1.7011006
10077,6.779311,4.2745533,9.818264,1.5583279
10078,10.196531,3.536242,7.697589,2.9546325
10079,6.7977,3.7020946,10.078629,2.4871147
10080,6.900927,3.9579444,7.9165025,3.4898057
10081,6.8514605,3.967919,6.932363,2.7462547
10082,6.4589677,4.036128,11.295679,2.648231
10083,6.8622794,3.345258,9.218842,0.3227978
10084,6.304364,3.9725044,7.4409432,4.376593
10085,9.626268,4.5059385,8.066233,4.899516
10086,12.154346,3.4266496,7.3449516,3.536509
10087,8.456644,4.015414,8.341352,3.1204476
10088,9.317311,4.208922,8.257905,3.6477973
10089,7.850075,4.390242,7.9041367,2.018006
10090,8.787354,3.9284282,9.952254,2.5993524
10091,2.3877823,3.566604,8.305195,3.495634
10092,3.3116717,4.1379786,10.910021,0.15709469
10093,4.2030015,3.4725738,7.455204,0.61677945
10094,9.103196,3.793946,4.7977777,2.5762358
10095,7.2225075,4.217761,7.5082474,1.4807888
10096,2.8092186,3.985763,9.898793,2.830193
10097,7.60652,4.344007,10.14853,2.6750038
10098,10.519567,4.3581223,8.880251,2.4349418
10099,8.452067,3.9836247,10.855525,2.6924424
10100,7.256044,4.4839277,8.174473,2.0056825
10101,5.7426233,4.5959597,9.960483,1.328873
10102,0.7987403,3.0921607,7.469794,1.5873057
10103,6.680188,4.1986685,9.892725,2.8780632
10104,4.986833,3.3652527,8.376086,0.048650958
10105,10.217222,3.6828003,10.013829,3.8281891
10106,9.713931,3.3000035,9.291507,3.1424136
10107,7.894389,3.7667263,9.892019,2.7184038
10108,7.7684736,3.4529629,8.226732,2.643199
10109,8.615886,4.098098,8.808195,3.4423053
10110,8.908127,4.2580633,13.289835,0.7367575
10111,9.563777,4.112822,8.211575,2.8379064
10112,9.84167,4.6960764,8.475815,2.9509
10113,7.9111776,3.9473119,9.366033,2.9327836
10114,7.609033,3.7303703,7.3613405,1.9628477
10115,7.6254373,3.704536,7.9087625,2.738814
10116,8.944376,3.0708516,8.088056,2.6044383
10117,7.4784913,3.8257256,8.96901,3.94809
10118,9.900988,4.0594053,6.7421846,4.006916
10119,9.560603,4.5845046,8.248767,3.1758637
10120,6.1871243,4.0411286,10.167261,3.3911777
10121,10.191696,3.4489071,9.15013,3.9342785
10122,6.4456496,4.22384,8.894481,2.7986152
10123,1.7578351,3.3470569,9.885962,1.4338716
10124,7.786944,4.1411285,9.4349165,2.636198
10125,5.2220545,4.0895224,6.759485,4.566498
10126,5.6590867,3.8725274,6.4472136,2.740566
10127,6.74026,4.64391,9.054351,4.1874757
10128,8.283502,3.7627347,9.803399,3.5496292
10129,13.092117,4.3538055,9.937094,2.7837744
10130,5.785672,3.1875386,9.105409,3.4801
10131,6.409612,3.927824,10.539604,1.5904846
10132,6.315657,3.5324368,8.682705,1.6777086
10133,6.794562,4.223404,8.719297,3.2503905
10134,8.60525,3.6363063,7.3562875,4.2832174
10135,9.473268,3.1180263,6.964956,2.449696
10136,10.459819,5.020072,10.902992,3.913985
10137,5.6730776,4.205269,8.640673,3.3380344
10138,7.7804337,4.095922,8.421288,3.1961448
10139,8.9969425,4.0764112,9.861603,0.3256691
10140,6.062934,3.8098137,8.82092,1.9753319
10141,3.5908234,3.700692,6.1323175,2.7496219
10142,7.4907556,4.496498,6.527978,3.1129067
10143,8.809874,3.5578034,9.256168,3.4701226
10144,7.20429,4.742238,9.248171,3.458495
10145,10.202932,3.500029,9.884848,2.094235
10146,8.120573,3.761598,10.093193,4.3678737
10147,9.498688,3.80521,8.2984295,3.1232631
10148,7.090308,4.043027,5.8874984,4.8238277
10149,9.125787,3.3328156,8.094276,3.8236146
10150,6.7536364,3.9787602,8.852998,3.2327812
10151,6.3978853,3.6031003,10.789481,2.0898626
10152,6.292014,4.0038843,8.813051,3.1445904
10153,11.929286,3.2885087,9.764107,2.4959342
10154,10.343463,3.9836056,11.101524,2.6868196
10155,4.7761326,4.375656,8.333685,2.7881737
10156,7.121221,4.445255,9.819947,3.440276
10157,5.8834624,4.0520325,8.809631,3.8388405
10158,6.6700263,3.3545756,9.270785,5.0650735
10159,9.35662,4.444576,7.9338903,1.8658488
10160,6.763971,3.9272811,9.904454,4.0504403
10161,8.848443,4.095045,9.39538,3.3810303
10162,8.623687,4.6320157,8.84754,3.7042923
10163,6.5299253,4.4536805,7.85833,4.0072384
10164,6.4097214,4.3450875,10.893858,3.229309
10165,8.318964,3.1526027,6.957164,5.1090174
10166,8.683747,4.385989,8.4812155,2.2347982
10167,7.6732726,4.900668,11.017248,2.6301951
10168,9.140169,4.5993824,8.693436,2.2339997
10169,9.138394,3.7541103,7.92248,3.9401736
10170,9.398303,4.2382975,9.2894335,2.4403133
10171,9.660929,3.7654927,9.984159,2.9720101
