id,hhb,hbo2,ca,na
10000,7.610778,4.266773,8.8085165,3.5475476
10001,6.3495073,3.9637465,9.093391,2.7391822
10002,8.153722,4.413791,9.552088,3.67405
10003,8.495975,4.1892505,10.535957,3.5782409
10004,9.244624,3.4937172,8.303517,3.7008266
10005,8.033297,3.8254056,9.521105,1.9586012
10006,10.564023,3.607664,9.642382,2.1817126
10007,8.902813,4.4739428,10.617889,2.5859823
10008,5.6602583,4.4444666,8.258756,2.4190998
10009,8.808878,3.9575715,7.4643083,2.3155942
10010,9.838719,3.7159615,9.109041,7.1200256
10011,7.5673323,3.8627968,6.2404604,4.443348
10012,8.232134,4.4656167,5.574556,2.6886349
10013,6.7804933,4.2727537,9.038203,2.7740762
10014,8.74091,4.3947206,8.503452,2.688663
10015,6.9730234,3.5541997,7.8853927,3.4495316
10016,10.864972,3.5390143,7.7543397,4.391599
10017,8.499242,3.9906628,9.779459,2.5548058
10018,7.9616,4.3474336,10.063833,2.6264393
10019,8.282156,3.7317433,8.986384,2.0867257
10020,9.410757,3.570807,8.837794,3.4522986
10021,10.429724,4.1995096,9.459707,1.820561
10022,8.160688,3.8946304,9.529332,3.5461936
10023,6.7076035,4.641385,10.250237,2.4526107
10024,7.8115234,4.310006,9.317748,2.8590975
10025,8.528688,4.1403503,8.71723,2.929977
10026,9.02155,3.8844173,7.611009,2.9973636
10027,13.181917,5.009317,9.690224,3.5968254
10028,5.466016,4.3200684,9.8594055,3.12076
10029,7.4439726,4.0816226,8.71741,3.4146564
10030,7.2159967,4.4934244,8.892559,2.6270986
10031,6.938607,3.5443025,8.523431,3.3833096
10032,7.9170904,3.9089916,8.404889,3.648006
10033,9.107274,4.0224586,7.055777,3.7652287
10034,10.111399,3.5589123,6.4720182,4.130214
10035,6.069242,3.6756954,8.483014,3.8676696
10036,12.276959,3.5433095,6.690191,4.7404466
10037,5.4252825,4.098015,8.552024,2.8419225
10038,8.567811,4.4499817,8.446874,3.766681
10039,9.563669,3.2460175,8.341597,3.6033733
10040,5.122099,3.9633012,7.7805543,3.291275
10041,6.9253592,4.0187845,10.082973,4.4440746
10042,9.385594,4.0783777,8.829465,2.1278481
10043,9.819592,3.6713996,8.777036,2.876044
10044,6.4714766,4.3729753,10.592501,2.4460802
10045,10.46581,2.8887165,7.4117303,2.0291603
10046,6.7081947,4.1730676,10.254992,2.668117
10047,7.1332273,4.287656,10.062388,3.0219815
10048,7.5061264,4.000352,8.294611,2.9078078
10049,7.709834,4.2435765,9.39783,1.2491038
10050,6.6437645,3.723882,9.086509,1.0570651
10051,7.2989664,4.5099993,8.497472,3.1643405
10052,10.6293125,4.148408,8.893392,2.5227559
10053,5.4353466,3.9759643,7.9686203,3.144238
10054,6.523454,4.4559693,8.62395,2.6992044
10055,6.9955015,3.1930306,9.084263,5.5635443
10056,12.65358,4.5928974,8.811714,3.1518161
10057,7.397808,4.0450454,8.881655,3.443407
10058,9.609976,3.7983131,9.192653,3.566127
10059,7.1214523,4.13686,9.472563,4.921798
10060,9.411226,3.6411922,7.570758,3.3138356
10061,3.5316505,3.8714662,9.925069,1.3334767
10062,7.6433744,4.131434,8.772135,5.023307
10063,11.747601,4.3523703,9.332478,3.8053284
10064,7.8253794,3.2976997,8.631788,3.7324157
10065,7.447315,4.2252345,9.132188,3.1692405
10066,9.265783,3.055836,8.978336,3.4543698
10067,6.937032,3.757187,7.6520576,2.5168643
10068,10.25908,4.318444,9.417208,2.6861148
10069,8.015325,4.068677,10.160589,3.9335732
10070,7.3441477,4.0428514,8.579146,3.3897247
10071,4.269718,4.2135463,8.820488,3.8046536
10072,10.306154,4.3072596,6.8689346,3.2920127
10073,10.1095085,4.1180086,10.476571,2.4909449
10074,6.9284377,4.1384478,8.234604,3.666552
10075,9.175262,4.71704,9.219099,1.4539713
10076,6.6529226,4.2834964,9.965996,1.690086
10077,7.136696,4.3302956,10.145248,1.7712549
10078,10.626829,3.392646,8.562093,3.36383
10079,6.802964,3.8159442,10.355393,2.4850068
10080,6.974721,4.089076,8.339403,3.3241458
10081,6.9205537,3.8750541,6.5308275,2.675991
10082,6.564698,4.0711393,9.953281,3.088972
10083,7.0283866,3.4380634,9.807102,1.0634283
10084,5.2834463,3.5898118,7.541398,4.371167
10085,9.811275,4.294753,6.932683,4.959248
10086,12.1968,3.7844238,7.679006,2.8342366
10087,8.704885,4.2250166,8.957774,3.2701066
10088,8.535212,4.21462,8.998018,3.7625344
10089,8.075018,4.4686737,8.245066,2.3217912
10090,8.765484,4.0581856,9.21826,2.9514813
10091,3.6678772,3.683984,7.7682066,3.301438
10092,3.574622,4.0786448,10.665659,0.18176217
10093,4.827756,3.4776447,7.9573607,0.59044373
10094,8.692632,3.7038665,5.131263,3.008113
10095,7.7025347,4.46119,8.158679,1.7051814
10096,2.8614724,3.87518,9.990587,2.783724
10097,7.230605,4.2985024,9.409962,2.697113
10098,10.638846,4.3383613,9.379286,2.4603126
10099,8.608683,4.148547,10.657885,3.0274239
10100,7.358358,4.3319426,8.803369,2.679091
10101,5.489662,4.2106347,9.938161,1.9158261
10102,1.5541054,2.9256458,7.7176147,1.253652
10103,6.8017626,4.12688,9.811818,2.7530198
10104,4.654623,3.50975,8.745066,0.30547827
10105,9.736643,3.8708146,10.442439,3.7120476
10106,8.916807,3.5711975,10.558229,2.861284
10107,7.9131975,3.9183278,9.651121,2.9449172
10108,7.657084,3.5897148,8.458982,2.7441728
10109,8.645454,3.9820209,8.5543995,3.2758744
10110,8.858973,4.3771424,13.217749,1.1327506
10111,9.490905,4.1790767,8.765442,2.8664608
10112,10.1540575,4.754822,9.29167,3.5930927
10113,8.183874,3.7634296,9.487294,3.2163157
10114,6.567881,3.7853417,7.6862106,2.3421836
10115,7.900842,3.6955025,8.506369,2.440721
